Category,Sign-Language Family,Country,Language of Country,Code,,Notes
Puerto Rican Sign Language,"French Sign, ASL",Puerto Rico,Spanish,es,"French Sign, ASL","""Lengua se señas puertorriqueña"""
Providence Island Sign Language,Village Sign,Columbia,Spanish,es,village,
Salvadoran Sign Language,Village Sign,El Salvador,Spanish,es,isolate,
Tijuana Sign Language,Village Sign,Mexico,Spanish,es,isolate,
Trinidad and Tobago Sign Language,Village Sign,Trinidad and Tobago,English,es,isolate?,"French Sign, ASL taught in schools; most Deaf bilingual"
Uruguayan Sign Language,Village Sign,Uruaguay,Spanish,es,,"""Lengua de Señas Uruguaya"""
Urubú Sign Language,Village Sign,Brazil,Portuguese,pt,village,(AKA Kaapor Sign Language)
Venezuelan Sign Language,Village Sign,Venezuele,Spanish,es ,isolate,"""Lengua de señas venezolana"" (LSV)"
,,,,,,
Asia/Pacific,,,,,,
Afghan Sign Language,Village Sign,Afghanistan,Pashto,,"indig, or French Sign, ASL creole?",
Alipur Sign Language,Village Sign,"Karnataka, India ",Kannada ,kn,village,"17000 know language, highly congenital deaf community"
Amami Oshima Sign Language,JSL,"Amami Oshima, Japan",Japanese ,ja,village or idioglossia,Japan
Auslan,"BANZSL, Auslan",Australia,English,en,British,(Australian Sign Language)
"Ban Khor Sign Language (Na Sai Sign Language, Huay Hai Sign Language)",Village Sign,Thailand,Thai,th,village,(Plaa Pag is a dialect)
Burmese sign language,Village Sign,Burma,Burmese,, ?,may be two languages
Cambodian Sign Language,"French Sign, ASL",Cambodia,Khmer,,#NAME?,
Chinese Sign Language,Chinese  Sign Language,China,Chinese,zh-CN,Chinese,"""____"" (ZGS)"
Enga Sign Language,Village Sign,Papua New Guinea,English,en,village,PNG
Ghandruk Sign Language,Village Sign,"Nepal, Dolpa District",Nepali,,village,(Nepal)
Haiphong Sign,Vietnamese Sign Language,Vietnam,Vietnamese,vi,local,"(Hanoi Sign Language, Ho Chi Minh Sign Language, Haiphong Sign Language; some may be related to some of the Thai languages)"
Hanoi Sign,Vietnamese Sign Language,Vietnam,Vietnamese,vi,local,"(Hanoi Sign Language, Ho Chi Minh Sign Language, Haiphong Sign Language; some may be related to some of the Thai languages)"
Hawaii Pidgin Sign Language,"French Sign, ASL",Hawaii,English,en,"French Sign, ASL","40 people still sign, virtuall extinct "
Ho Chi Minh City Sign,Vietnamese Sign Language,Vietnam,Vietnamese,vi,local,"(Hanoi Sign Language, Ho Chi Minh Sign Language, Haiphong Sign Language; some may be related to some of the Thai languages)"
Hong Kong Sign Language ( Macau Sign Language),"Chinese  Sign Language, Hong Kong Sign Language",Hong Kong,Chinese,zh-CN,Chinese,"""____"" (HKSL). Derives from the southern dialect of CSL."
